,Day,Time,LMP,bypass_pretreatment_flow,power_from_grid,intake.op_mode,intake.startup,intake.shutdown,intake.energy_intensity,intake.power_consumption,intake.recovery,intake.feed_flowrate,intake.product_flowrate,intake.reject_flowrate,intake.feed_cost,intake.chemical_cost,pretreatment.op_mode,pretreatment.startup,pretreatment.shutdown,pretreatment.power_consumption,pretreatment.feed_flowrate,pretreatment.product_flowrate,pretreatment.reject_flowrate,pretreatment.inlet_flowrate,pretreatment.leftover_flow,pretreatment.uf_pumps[1].op_mode,pretreatment.uf_pumps[1].startup,pretreatment.uf_pumps[1].shutdown,pretreatment.uf_pumps[1].energy_intensity,pretreatment.uf_pumps[1].power_consumption,pretreatment.uf_pumps[1].recovery,pretreatment.uf_pumps[1].feed_flowrate,pretreatment.uf_pumps[1].product_flowrate,pretreatment.uf_pumps[1].reject_flowrate,pretreatment.uf_pumps[2].op_mode,pretreatment.uf_pumps[2].startup,pretreatment.uf_pumps[2].shutdown,pretreatment.uf_pumps[2].energy_intensity,pretreatment.uf_pumps[2].power_consumption,pretreatment.uf_pumps[2].recovery,pretreatment.uf_pumps[2].feed_flowrate,pretreatment.uf_pumps[2].product_flowrate,pretreatment.uf_pumps[2].reject_flowrate,pretreatment.uf_pumps[3].op_mode,pretreatment.uf_pumps[3].startup,pretreatment.uf_pumps[3].shutdown,pretreatment.uf_pumps[3].energy_intensity,pretreatment.uf_pumps[3].power_consumption,pretreatment.uf_pumps[3].recovery,pretreatment.uf_pumps[3].feed_flowrate,pretreatment.uf_pumps[3].product_flowrate,pretreatment.uf_pumps[3].reject_flowrate,reverse_osmosis.op_mode,reverse_osmosis.startup,reverse_osmosis.shutdown,reverse_osmosis.power_consumption,reverse_osmosis.feed_flowrate,reverse_osmosis.product_flowrate,reverse_osmosis.reject_flowrate,reverse_osmosis.inlet_flowrate,reverse_osmosis.leftover_flow,reverse_osmosis.ro_skid[1].op_mode,reverse_osmosis.ro_skid[1].startup,reverse_osmosis.ro_skid[1].shutdown,reverse_osmosis.ro_skid[1].energy_intensity,reverse_osmosis.ro_skid[1].power_consumption,reverse_osmosis.ro_skid[1].recovery,reverse_osmosis.ro_skid[1].feed_flowrate,reverse_osmosis.ro_skid[1].product_flowrate,reverse_osmosis.ro_skid[1].reject_flowrate,reverse_osmosis.ro_skid[2].op_mode,reverse_osmosis.ro_skid[2].startup,reverse_osmosis.ro_skid[2].shutdown,reverse_osmosis.ro_skid[2].energy_intensity,reverse_osmosis.ro_skid[2].power_consumption,reverse_osmosis.ro_skid[2].recovery,reverse_osmosis.ro_skid[2].feed_flowrate,reverse_osmosis.ro_skid[2].product_flowrate,reverse_osmosis.ro_skid[2].reject_flowrate,reverse_osmosis.ro_skid[3].op_mode,reverse_osmosis.ro_skid[3].startup,reverse_osmosis.ro_skid[3].shutdown,reverse_osmosis.ro_skid[3].energy_intensity,reverse_osmosis.ro_skid[3].power_consumption,reverse_osmosis.ro_skid[3].recovery,reverse_osmosis.ro_skid[3].feed_flowrate,reverse_osmosis.ro_skid[3].product_flowrate,reverse_osmosis.ro_skid[3].reject_flowrate,reverse_osmosis.ro_skid[4].op_mode,reverse_osmosis.ro_skid[4].startup,reverse_osmosis.ro_skid[4].shutdown,reverse_osmosis.ro_skid[4].energy_intensity,reverse_osmosis.ro_skid[4].power_consumption,reverse_osmosis.ro_skid[4].recovery,reverse_osmosis.ro_skid[4].feed_flowrate,reverse_osmosis.ro_skid[4].product_flowrate,reverse_osmosis.ro_skid[4].reject_flowrate,posttreatment.op_mode,posttreatment.startup,posttreatment.shutdown,posttreatment.energy_intensity,posttreatment.power_consumption,posttreatment.feed_flowrate,posttreatment.product_flowrate,posttreatment.reject_flowrate,posttreatment.chemical_cost,brine_discharge.op_mode,brine_discharge.startup,brine_discharge.shutdown,brine_discharge.feed_flowrate,brine_discharge.power_consumption,brine_discharge.brine_cost,num_skids_online,net_power_consumption,water_revenue,demand_response_revenue,emissions_cost,energy_cost
68,1,69,0.15246,0,725.4398766,,,,0,0,1,1250,1250,0,200,41.5,0,,,188.23125,1250,1200,50,1250,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,0,0,0,0.271,0,0.96,0,0,0,,,,425.0986266,1200,1110,90,1200,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,112.11,1110,1110,0,34.41,0,,,140,0,60.2,2,725.4398766,0,0,0,110.6005636
69,1,70,0.15246,0,725.4398766,,,,0,0,1,1250,1250,0,200,41.5,0,,,188.23125,1250,1200,50,1250,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,0,0,0,0.271,0,0.96,0,0,0,,,,425.0986266,1200,1110,90,1200,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,112.11,1110,1110,0,34.41,0,,,140,0,60.2,2,725.4398766,0,0,0,110.6005636
70,1,71,0.1016,0,1088.159747,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,1,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6478724,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,1,0,0.382971614,212.5492458,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159747,0,0,0,110.5570303
71,1,72,0.1016,0,1088.159815,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6479399,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159815,0,0,0,110.5570372
72,1,73,0.1016,0,1088.159756,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.647881,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.38297163,212.5492544,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159756,0,0,0,110.5570312
73,1,74,0.1016,0,1088.159815,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6479399,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159815,0,0,0,110.5570372
74,1,75,0.1016,0,1088.159815,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6479399,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159815,0,0,0,110.5570372
75,1,76,0.1016,0,1088.159815,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6479399,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159815,0,0,0,110.5570372
76,1,77,0.1016,0,1088.159815,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6479399,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159815,0,0,0,110.5570372
77,1,78,0.1016,0,1088.159815,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6479399,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159815,0,0,0,110.5570372
78,1,79,0.1016,0,1088.159815,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6479399,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159815,0,0,0,110.5570372
79,1,80,0.1016,0,1088.159747,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6478724,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971614,212.5492458,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159747,0,0,0,110.5570303
80,1,81,0.1016,0,1088.159543,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6476681,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971614,212.5492458,0.925,600,555,45,1,0,0,0.382971368,212.549109,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159543,0,0,0,110.5570096
81,1,82,0.1016,0,1088.159611,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6477356,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971368,212.549109,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159611,0,0,0,110.5570164
82,1,83,0.1016,0,1088.159747,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6478724,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971614,212.5492458,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159747,0,0,0,110.5570303
83,1,84,0.1016,0,1088.159747,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6478724,1800,1665,135,1800,0,1,0,0,0.382971614,212.5492458,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159747,0,0,0,110.5570303
84,1,85,0.1016,0,1088.159747,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6478724,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971614,212.5492458,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159747,0,0,0,110.5570303
85,1,86,0.1016,0,1088.159815,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6479399,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159815,0,0,0,110.5570372
86,1,87,0.1016,0,1088.159815,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6479399,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159815,0,0,0,110.5570372
87,1,88,0.1016,0,1088.159815,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6479399,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159815,0,0,0,110.5570372
88,1,89,0.1016,0,1088.159747,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6478724,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971614,212.5492458,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159747,0,0,0,110.5570303
89,1,90,0.15246,0,725.4398091,,,,0,0,1,1250,1250,0,200,41.5,0,,,188.23125,1250,1200,50,1250,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,0,0,1,0.271,0,0.96,0,0,0,,,,425.0985591,1200,1110,90,1200,0,1,0,0,0.382971614,212.5492458,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,1,0.087248178,0,0.88,0,0,0,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,112.11,1110,1110,0,34.41,0,,,140,0,60.2,2,725.4398091,0,0,0,110.6005533
90,1,91,0.15246,0,725.4398091,,,,0,0,1,1250,1250,0,200,41.5,0,,,188.23125,1250,1200,50,1250,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,0,0,0,0.271,0,0.96,0,0,0,,,,425.0985591,1200,1110,90,1200,0,1,0,0,0.382971614,212.5492458,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,112.11,1110,1110,0,34.41,0,,,140,0,60.2,2,725.4398091,0,0,0,110.6005533
91,1,92,0.15246,0,725.4398766,,,,0,0,1,1250,1250,0,200,41.5,0,,,188.23125,1250,1200,50,1250,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,0,0,0,0.271,0,0.96,0,0,0,,,,425.0986266,1200,1110,90,1200,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,112.11,1110,1110,0,34.41,0,,,140,0,60.2,2,725.4398766,0,0,0,110.6005636
92,1,93,0.15246,0,725.4398766,,,,0,0,1,1250,1250,0,200,41.5,0,,,188.23125,1250,1200,50,1250,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,0,0,0,0.271,0,0.96,0,0,0,,,,425.0986266,1200,1110,90,1200,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,112.11,1110,1110,0,34.41,0,,,140,0,60.2,2,725.4398766,0,0,0,110.6005636
93,1,94,0.15246,0,725.4398766,,,,0,0,1,1250,1250,0,200,41.5,0,,,188.23125,1250,1200,50,1250,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,0,0,0,0.271,0,0.96,0,0,0,,,,425.0986266,1200,1110,90,1200,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,112.11,1110,1110,0,34.41,0,,,140,0,60.2,2,725.4398766,0,0,0,110.6005636
94,1,95,0.1016,0,1088.15968,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,1,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6478049,1800,1665,135,1800,0,1,0,0,0.382971614,212.5492458,0.925,600,555,45,1,0,0,0.382971614,212.5492458,0.925,600,555,45,1,1,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.15968,0,0,0,110.5570235
95,1,96,0.1016,0,1088.159747,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6478724,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971614,212.5492458,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159747,0,0,0,110.5570303
96,1,97,0.1016,0,1088.159815,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6479399,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159815,0,0,0,110.5570372
97,1,98,0.1016,0,1088.159747,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6478724,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971614,212.5492458,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159747,0,0,0,110.5570303
98,1,99,0.1016,0,1088.159815,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6479399,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159815,0,0,0,110.5570372
99,1,100,0.1016,0,1088.159747,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6478724,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971614,212.5492458,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159747,0,0,0,110.5570303
100,1,101,0.1016,0,1088.159747,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6478724,1800,1665,135,1800,0,1,0,0,0.382971614,212.5492458,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159747,0,0,0,110.5570303
101,1,102,0.1016,0,1088.159815,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6479399,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159815,0,0,0,110.5570372
102,1,103,0.1016,0,1088.159815,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6479399,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159815,0,0,0,110.5570372
103,1,104,0.1016,0,1088.159815,,,,0,0,1,1875,1875,0,300,62.25,0,,,282.346875,1875,1800,75,1875,0,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,1,0,0,0.156859375,94.115625,0.96,625,600,25,,,,637.6479399,1800,1665,135,1800,0,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,1,0,0,0.382971736,212.5493133,0.925,600,555,45,0,0,0,0.087248178,0,0.88,0,0,0,1,,,0.101,168.165,1665,1665,0,51.615,0,,,210,0,90.3,3,1088.159815,0,0,0,110.5570372
